ticker,score,verdict,support,resistance,range_width_pct,support_touches,resistance_touches,containment_ratio,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,risk_note,skip_reason
AAPL,93.91,EXCELLENT_RANGE,245.16,277.78,13.31,12,35,0.9083,17.26,2.26,-2.13,40985031.0,10357745597.0,260.48,HIGH_DOWNSIDE_BREAKDOWN_RISK,
MSFT,72.84,TRENDING_NOT_RANGE,470.12,489.75,4.18,23,23,0.3,29.97,2.28,-6.84,31817072.0,11960929254.0,370.87,HIGH_DOWNSIDE_BREAKDOWN_RISK,
GOOGL,80.19,EXCELLENT_RANGE,296.72,311.95,5.13,21,25,0.3,24.92,2.7,-1.83,29359374.0,8726888931.0,317.24,,
AMZN,85.91,EXCELLENT_RANGE,224.09,248.7,10.99,22,15,0.5,17.23,2.81,1.35,44520617.0,9477606575.0,238.38,HIGH_DOWNSIDE_BREAKDOWN_RISK,
META,81.59,TRENDING_NOT_RANGE,635.29,669.31,5.35,42,43,0.5,22.58,3.43,-7.62,18557537.0,10857846785.0,629.86,HIGH_DOWNSIDE_BREAKDOWN_RISK,
TSLA,71.3,TRENDING_NOT_RANGE,386.41,458.15,18.57,22,32,0.7417,28.46,4.23,-9.09,65204927.0,24080924360.0,348.95,HIGH_DOWNSIDE_BREAKDOWN_RISK,
NVDA,96.02,EXCELLENT_RANGE,177.51,191.68,7.98,36,39,0.75,19.11,2.86,-2.64,170303503.0,30146896406.0,188.63,HIGH_DOWNSIDE_BREAKDOWN_RISK,
JPM,97.56,EXCELLENT_RANGE,291.58,323.84,11.07,20,22,0.8,20.57,2.25,0.36,10144771.0,2962534518.0,309.87,,
V,79.46,WATCHLIST,322.15,335.92,4.27,30,27,0.325,24.55,2.15,-3.45,7111540.0,2154453483.0,304.36,HIGH_DOWNSIDE_BREAKDOWN_RISK,
JNJ,86.5,EXCELLENT_RANGE,184.89,246.38,33.26,10,23,0.9667,15.7,1.79,-0.51,7511031.0,1799044532.0,238.46,HIGH_UPSIDE_BREAKOUT_RISK,
WMT,74.06,WATCHLIST,99.7,116.86,17.22,7,15,0.4917,11.14,2.33,-0.38,19287195.0,2379744615.0,126.77,HIGH_UPSIDE_BREAKOUT_RISK,
PG,82.87,TRENDING_NOT_RANGE,141.84,152.2,7.31,25,21,0.675,26.14,1.86,-6.5,11236914.0,1627674176.0,145.16,HIGH_DOWNSIDE_BREAKDOWN_RISK,
UNH,76.66,TRENDING_NOT_RANGE,319.55,341.19,6.77,21,22,0.3583,30.81,2.89,-0.28,9230249.0,2598269460.0,304.33,HIGH_DOWNSIDE_BREAKDOWN_RISK,
HD,72.19,TRENDING_NOT_RANGE,368.14,392.87,6.72,27,27,0.4583,33.69,2.84,-7.81,4152577.0,1367429541.0,337.34,HIGH_DOWNSIDE_BREAKDOWN_RISK,
