ticker,score,verdict,entry_quality,edge_position,breakout_risk,structure_score,regime_score,liquidity_score,support,resistance,range_width_pct,position_in_range,support_touches,resistance_touches,containment_ratio,rotation_count,tightness,trend_leakage,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,data_start,data_end,risk_note,reason,skip_reason
AAPL,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,78.6,63.6,100.0,245.16,277.7,13.27,1.48,11,35,0.8667,6,0.5385,0.303,20.67,2.28,7.24,48975844.0,13411832660.0,293.32,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,6 rotations (strong); width 13.3% (wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
MSFT,50.0,TRENDING_NOT_RANGE,57.4,LOWER_HALF,LOW,51.0,55.9,100.0,394.95,489.75,24.0,0.213,21,26,0.75,1,0.7242,0.4083,20.05,2.64,8.76,36000870.0,14956426930.0,415.12,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,Only 1 rotations (weak); width 24.0% (too wide); EMA slope 8.8% (directional); strong reactions,
NVDA,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,85.7,47.8,100.0,177.39,194.08,9.41,2.265,34,27,0.7,10,0.4846,0.3182,23.89,3.08,11.91,151301523.0,30827249645.0,215.2,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,10 rotations (strong); width 9.4% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
AMZN,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,80.8,25.1,100.0,205.03,213.45,4.11,8.034,22,23,0.225,8,0.4879,0.2727,42.83,2.56,18.57,49090192.0,12751083564.0,272.68,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,8 rotations (strong); width 4.1% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
AVGO,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,76.6,36.0,100.0,311.53,355.78,14.2,2.677,19,29,0.65,8,0.5213,0.2727,31.15,3.42,21.03,20605447.0,8436038607.0,430.0,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,8 rotations (strong); width 14.2% (wide); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
META,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,MODERATE,85.7,60.6,100.0,635.29,670.96,5.61,-0.719,38,40,0.525,10,0.5604,0.3427,22.23,3.08,4.64,16025900.0,10282710271.0,609.63,2025-11-14,2026-05-08,,10 rotations (strong); width 5.6% (good); strong reactions; BROKEN below support; breakout risk moderate; entry not ideal (0),
GOOGL,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,81.6,20.8,100.0,296.72,321.59,8.38,4.185,18,25,0.5333,7,0.5212,0.3125,48.28,2.36,18.98,27460414.0,9917172247.0,400.8,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,7 rotations (strong); width 8.4% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
GOOG,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,81.1,20.8,100.0,297.02,321.76,8.33,4.043,20,27,0.525,7,0.5331,0.3125,48.6,2.31,18.7,18437467.0,6619024309.0,397.05,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,7 rotations (strong); width 8.3% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
TSLA,40.0,BROKEN_UP,0.0,BROKEN_UP,MODERATE,78.8,59.1,100.0,387.01,413.65,6.88,1.552,24,25,0.3333,6,0.5695,0.4242,18.77,3.49,6.17,64054472.0,24821206252.0,428.35,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,6 rotations (strong); width 6.9% (good); strong reactions; BROKEN above resistance; breakout risk moderate; entry not ideal (0),
COST,79.39,RANGE_PRESSING_RESISTANCE,60.4,NEAR_RESISTANCE,LOW,73.5,79.5,100.0,963.65,1019.93,5.84,0.802,19,35,0.6,5,0.5176,0.404,10.04,1.82,0.52,1799175.0,1799280126.0,1008.79,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,5 rotations (strong); width 5.8% (good); price near resistance,
NFLX,40.0,BROKEN_DOWN,0.0,BROKEN_DOWN,MODERATE,75.0,47.8,100.0,91.1,95.83,5.2,-0.763,24,33,0.3333,5,0.4808,0.6222,21.55,2.94,-4.67,43587364.0,4152623647.0,87.49,2025-11-14,2026-05-08,HIGH_DOWNSIDE_BREAKDOWN_RISK,5 rotations (strong); width 5.2% (good); strong reactions; BROKEN below support; breakout risk moderate; entry not ideal (0),
AMD,40.0,BROKEN_UP,0.0,BROKEN_UP,HIGH,75.6,26.2,100.0,193.32,219.7,13.65,9.927,28,29,0.5417,10,0.5175,0.25,52.51,4.96,54.07,46808146.0,15837912843.0,455.19,2025-11-14,2026-05-08,HIGH_UPSIDE_BREAKOUT_RISK,10 rotations (strong); width 13.7% (wide); strong reactions; BROKEN above resistance; breakout risk HIGH; entry not ideal (0),
